date,Unit,Estimated NAV after Trading Team Carry,NAV per unit,PNL per unit,ETH haircut,fund,Date
2025-06-30,72.64,76.2792,1.050103662,0.0,,binggan,2025-06-30
2025-07-01,72.64,76.2792,1.050103662,0.0,,binggan,2025-07-01
2025-07-02,72.64,76.2792,1.050103662,0.0,,binggan,2025-07-02
2025-07-03,72.64,76.2792,1.050103662,0.0,,binggan,2025-07-03
2025-07-04,79.6,83.6105,1.050432998,0.0,,binggan,2025-07-04
2025-07-05,79.6,83.6105,1.050432998,0.0,,binggan,2025-07-05
2025-07-06,79.6,83.6105,1.050432998,0.0,,binggan,2025-07-06
2025-07-07,79.6,83.6105,1.050432998,0.0,,binggan,2025-07-07
2025-07-08,79.6,83.6105,1.050432998,0.0,,binggan,2025-07-08
2025-07-09,79.6,83.6105,1.050432998,0.0,,binggan,2025-07-09
2025-07-10,79.6,83.6105,1.050432998,0.0,,binggan,2025-07-10
2025-07-11,79.35,83.3454,1.050316435,0.0,,binggan,2025-07-11
2025-07-12,79.35,83.3454,1.050316435,0.0,,binggan,2025-07-12
2025-07-13,79.35,83.3454,1.050316435,0.0,,binggan,2025-07-13
2025-07-14,79.35,83.3454,1.050316435,0.0,,binggan,2025-07-14
2025-07-15,79.35,83.3454,1.050316435,0.0,,binggan,2025-07-15
2025-07-16,79.35,83.3454,1.050316435,0.0,,binggan,2025-07-16
2025-07-17,79.35,83.3454,1.050316435,0.0,,binggan,2025-07-17
2025-07-18,79.35,83.4104,1.051135563,0.0,,binggan,2025-07-18
2025-07-19,79.35,83.4104,1.051135563,0.0,,binggan,2025-07-19
2025-07-20,79.35,83.4104,1.051135563,0.0,,binggan,2025-07-20
2025-07-21,79.35,83.4104,1.051135563,0.0,,binggan,2025-07-21
2025-07-22,79.35,83.4104,1.051135563,0.0,,binggan,2025-07-22
2025-07-23,79.35,83.4104,1.051135563,0.0,,binggan,2025-07-23
2025-07-24,79.35,83.4104,1.051135563,0.0,,binggan,2025-07-24
2025-07-25,79.35,83.4868,1.052097219,0.0,,binggan,2025-07-25
2025-07-26,79.35,83.4868,1.052097219,0.0,,binggan,2025-07-26
2025-07-27,79.35,83.4868,1.052097219,0.0,,binggan,2025-07-27
2025-07-28,79.35,83.4868,1.052097219,0.0,,binggan,2025-07-28
2025-07-29,79.35,83.4868,1.052097219,0.0,,binggan,2025-07-29
2025-07-30,79.35,83.4868,1.052097219,0.0,,binggan,2025-07-30
2025-07-31,79.35,83.4868,1.052097219,0.0,,binggan,2025-07-31
2025-08-01,79.35,83.5713,1.053162085,0.0,,binggan,2025-08-01
2025-08-02,79.35,83.5713,1.053162085,0.0,,binggan,2025-08-02
2025-08-03,79.35,83.5713,1.053162085,0.0,,binggan,2025-08-03
2025-08-04,79.35,83.5713,1.053162085,0.0,,binggan,2025-08-04
2025-08-05,79.35,83.5713,1.053162085,0.0,,binggan,2025-08-05
2025-08-06,79.35,83.5713,1.053162085,0.0,,binggan,2025-08-06
2025-08-07,79.35,83.5713,1.053162085,0.0,,binggan,2025-08-07
2025-08-08,79.35,83.5843,1.053325911,0.0,,binggan,2025-08-08
2025-08-09,79.35,83.5843,1.053325911,0.0,,binggan,2025-08-09
2025-08-10,79.35,83.5843,1.053325911,0.0,,binggan,2025-08-10
2025-08-11,79.35,83.5843,1.053325911,0.0,,binggan,2025-08-11
2025-08-12,79.35,83.5843,1.053325911,0.0,,binggan,2025-08-12
2025-08-13,79.35,83.5843,1.053325911,0.0,,binggan,2025-08-13
2025-08-14,79.35,83.5843,1.053325911,0.0,,binggan,2025-08-14
